,subject,session,scan,dvars,efc,fber,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_fg,summary_p05_bg,summary_p05_fg,summary_p95_bg,summary_p95_fg,summary_stdv_bg,summary_stdv_fg,tr
40,sub-10,single_session,task-flanker_run-1,0.167423859239,0.571349829072,46.9047698975,5.69662,5.02032,5.84778,6.29693,0.0297004817283,0.00889958161861,0.0535083822906,48.872379303,0.0515474600982,0.0,0.000871232876712,0.0,0.0118742306164,146,64,64,40,5.88302111064,2.0,3.0,3.0,4.0,54.0367889404,624.632873535,13.0068492889,431.304101563,213.753417969,784.958874512,75.2034225464,107.903419495,2.0
41,sub-10,single_session,task-flanker_run-2,0.15704227984,0.570286600441,46.859828949,5.68879,5.0321,5.81019,6.29681,0.0166927641385,0.0104352254421,0.0543317645788,51.6058578491,0.0432111407918,0.0,0.000828424657534,0.0,0.0103572610274,146,64,64,40,5.84963542028,2.0,3.0,3.0,4.0,54.9784431458,628.10345459,13.1849317551,431.664375305,216.204789734,790.547912598,76.1196594238,109.276420593,2.0
42,sub-15,single_session,task-flanker_run-1,0.152740344405,0.509666191824,62.6297416687,6.00427,5.52795,5.88163,6.65761,0.0099411770089,0.00442340783775,0.0285681560636,52.3538818359,0.0435644185156,0.0,0.000943904109589,0.0,0.0103737310959,146,64,64,40,5.69038368192,2.0,3.0,3.0,4.0,43.9450187683,666.42388916,12.7123289108,453.539035034,180.438354492,850.286975098,73.494354248,119.295303345,2.0
43,sub-21,single_session,task-flanker_run-1,0.186648398638,0.522672745775,71.306427002,6.03943,5.41121,6.20806,6.5575,0.0120992946298,0.00669002626091,0.046155128628,41.4748001099,0.07689374864,0.0,0.00079602739726,0.0,0.0205469667808,146,64,64,40,5.80895460857,2.0,3.0,3.0,4.0,44.5922164917,712.32434082,13.4452056885,484.837333679,177.322942352,899.412658691,73.169090271,124.97605896,2.0
44,sub-18,single_session,task-flanker_run-1,0.136057972908,0.52607025481,75.9256210327,5.88551,5.26599,6.048,6.40117,0.00746950711289,-0.00870315171778,0.0386449433863,55.0670089722,0.0318847377563,0.0,0.00104828767123,0.0,0.00937368808219,146,64,64,40,5.80897509246,2.0,3.0,3.0,4.0,40.117641449,651.155700684,11.8561639786,445.291784668,179.316776276,821.347937012,64.8734817505,114.175582886,2.0
45,sub-13,single_session,task-flanker_run-1,0.115806818008,0.505933664044,74.3957824707,5.94299,5.37823,6.13067,6.36601,0.00802338531573,0.00682279001921,0.0366073735058,57.6998214722,0.033454322284,0.0,0.000899657534247,0.0,0.00635895712329,146,64,64,40,5.38807113274,2.0,3.0,3.0,4.0000038147,41.932964325,664.608581543,11.8561639786,444.746566772,175.468151855,853.162982178,66.3844528198,125.039985657,2.0
46,sub-09,single_session,task-flanker_run-1,0.158076256514,0.547114043585,55.8453445435,5.82331,5.07741,5.99631,6.48609,0.00789791917148,0.00867773219943,0.051786236465,50.4019393921,0.0500035383574,0.0,0.000660068493151,0.0,0.0106305173973,146,64,64,40,5.93519578328,2.0,3.0,3.0,4.0,49.0220489502,636.95324707,12.9931507111,428.899989319,200.634585571,796.683883667,71.2666549683,109.809585571,2.0
47,sub-05,single_session,task-flanker_run-1,0.160866066813,0.545925478057,62.370426178,6.28435,5.53658,6.36223,7.0458,0.0231848089662,-0.00228648516349,0.0598838925362,51.7815971375,0.0405864048384,0.0,0.000840547945205,0.0,0.0109233808904,146,64,64,40,5.62467637811,2.0,3.0,3.0,4.0,52.067615509,710.198974609,13.7397260666,467.889050293,215.912666321,896.876013184,75.2111129761,129.311813354,2.0
48,sub-08,single_session,task-flanker_run-2,0.136803090572,0.529342326478,81.170211792,6.40954,5.55076,6.68226,7.09913,0.0424325760097,-0.00872698426247,0.0549501255155,55.349571228,0.0636717494373,0.0,0.000841164383562,0.0,0.00933974568493,146,64,64,40,5.75150887242,2.0,3.0,3.0,4.0,40.8438835144,674.513305664,12.2739725113,441.962329102,161.554109192,844.817456055,64.1970443726,120.739868164,2.0
49,sub-14,single_session,task-flanker_run-2,0.148154601455,0.525427193639,68.9627685547,6.17229,5.36183,6.33872,6.91871,0.0151616285925,-0.00180346367415,0.056808821857,50.6663818359,0.102174420202,0.0,0.00268226027397,0.0,0.0112251880137,146,64,64,40,5.58238746021,2.0,3.0,3.0,4.0,46.7876853943,705.374694824,13.5342464447,485.338012695,182.5,906.953778076,72.6088027954,127.516853333,2.0
50,sub-18,single_session,task-flanker_run-2,0.13652330637,0.526620380808,73.0174713135,5.86153,5.22634,6.01662,6.40445,0.0186045692392,-0.00900318939239,0.0379365831614,55.392906189,0.0280461803867,0.0,0.00165684931507,0.0,0.00955662856164,146,64,64,40,5.81502275348,2.0,3.0,3.0,4.0,40.938457489,653.815124512,11.8630132675,446.740400696,182.758213806,823.157531738,66.5943374634,114.326225281,2.0
51,sub-19,single_session,task-flanker_run-1,0.183634981513,0.499480848356,82.3179779053,5.94608,5.2601,6.07396,6.58001,0.0880591314133,0.000628256879281,0.0385120734572,42.601890564,0.1330821853,3.0,0.00934589041096,2.04081632653,0.0169861472603,146,64,64,40,6.10125128169,2.0,3.0,3.0,4.0,42.9320793152,738.522155762,12.8630132675,495.753417969,191.728085327,917.385281372,70.5295791626,124.561531067,2.0
